Title,Aired,Original Network,Score,Watch Platforms,Release_Year,Score_Cleaned,Score_Ratings,Score_User_Base,non_korean_platform
When Life Gives You Tangerines,"Mar 7, 2025 - Mar 28, 2025",Netflix,"9.4 (scored by 36,925 users)",Netflix,2025,"9.4 (scored by 36,925 users)",9.4,36925,1
Twinkling Watermelon,"Sep 25, 2023 - Nov 14, 2023",tvN,"9.2 (scored by 74,669 users)","Viki, VIU Indonesia, TVING",2023,"9.2 (scored by 74,669 users)",9.2,74669,1
Move to Heaven,"May 14, 2021",Netflix,"9.1 (scored by 64,401 users)",Netflix,2021,"9.1 (scored by 64,401 users)",9.1,64401,1
Hospital Playlist Season 2,"Jun 17, 2021 - Sep 16, 2021",tvN,"9.1 (scored by 41,964 users)","Netflix, TVING",2021,"9.1 (scored by 41,964 users)",9.1,41964,1
Weak Hero Class 1,"Nov 18, 2022",Wavve,"9.1 (scored by 82,626 users)","Viki, iQIYI, Wavve, Netflix, Kocowa",2022,"9.1 (scored by 82,626 users)",9.1,82626,1
The Trauma Code: Heroes on Call,"Jan 24, 2025",Netflix,"9.1 (scored by 36,524 users)",Netflix,2025,"9.1 (scored by 36,524 users)",9.1,36524,1
Alchemy of Souls,"Jun 18, 2022 - Aug 28, 2022",tvN,"9.1 (scored by 86,806 users)",Netflix,2022,"9.1 (scored by 86,806 users)",9.1,86806,1
Flower of Evil,"Jul 29, 2020 - Sep 23, 2020",tvN,"9.1 (scored by 82,127 users)","Apple TV, Netflix, WeTV, Viki, iQIYI, Hulu, Prime Video",2020,"9.1 (scored by 82,127 users)",9.1,82127,1
Reply 1988,"Nov 6, 2015 - Jan 16, 2016",tvN,"9.0 (scored by 60,452 users)","Apple TV, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, Tubi, Prime Video",2016,"9.0 (scored by 60,452 users)",9.0,60452,1
Moving,"Aug 9, 2023 - Sep 20, 2023",Disney+,"9.0 (scored by 45,153 users)","Apple TV, Disney+, Disney+ Hotstar, Hulu",2023,"9.0 (scored by 45,153 users)",9.0,45153,1
Hospital Playlist,"Mar 12, 2020 - May 28, 2020",tvN,"9.0 (scored by 60,299 users)",Netflix,2020,"9.0 (scored by 60,299 users)",9.0,60299,1
My Mister,"Mar 21, 2018 - May 17, 2018",tvN,"9.0 (scored by 33,944 users)","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, Prime Video, Tubi",2018,"9.0 (scored by 33,944 users)",9.0,33944,1
Lovely Runner,"Apr 8, 2024 - May 28, 2024",tvN,"9.0 (scored by 75,475 users)","Apple TV, Viki, TVING, VIU Indonesia, Netflix",2024,"9.0 (scored by 75,475 users)",9.0,75475,1
Under the Queen's Umbrella,"Oct 15, 2022 - Dec 4, 2022",tvN,"9.0 (scored by 20,775 users)",Netflix,2022,"9.0 (scored by 20,775 users)",9.0,20775,1
Crash Landing on You,"Dec 14, 2019 - Feb 16, 2020",tvN,"9.0 (scored by 140,179 users)","Netflix, TVING",2020,"9.0 (scored by 140,179 users)",9.0,140179,1
The Glory Part 2,"Mar 10, 2023",Netflix,"9.0 (scored by 70,527 users)",Netflix,2023,"9.0 (scored by 70,527 users)",9.0,70527,1
Mr. Queen,"Dec 12, 2020 - Feb 14, 2021",tvN,"8.9 (scored by 64,171 users)","Viki, Hulu, Prime Video, VIU Indonesia, Netflix",2021,"8.9 (scored by 64,171 users)",8.9,64171,1
Prison Playbook,"Nov 22, 2017 - Jan 18, 2018",tvN,"8.9 (scored by 35,043 users)","Disney+ Hotstar, Netflix, iQIYI, VIU Indonesia, Prime Video",2018,"8.9 (scored by 35,043 users)",8.9,35043,1
Mother,"Jan 24, 2018 - Mar 15, 2018",tvN,"8.9 (scored by 10,551 users)",VIU Indonesia,2018,"8.9 (scored by 10,551 users)",8.9,10551,1
My Dearest,"Aug 4, 2023 - Sep 2, 2023",MBC,"8.9 (scored by 15,071 users)","Apple TV, Viki, Wavve, Prime Video, Netflix, Kocowa",2023,"8.9 (scored by 15,071 users)",8.9,15071,1
My Dearest Part 2,"Oct 13, 2023 - Nov 18, 2023",MBC,"8.9 (scored by 10,863 users)","Viki, Wavve, Prime Video, Netflix, Kocowa",2023,"8.9 (scored by 10,863 users)",8.9,10863,1
Taxi Driver Season 2,"Feb 17, 2023 - Apr 15, 2023",SBS,"8.9 (scored by 21,489 users)","Apple TV, Viki, VIU Indonesia, Wavve, Prime Video, Kocowa",2023,"8.9 (scored by 21,489 users)",8.9,21489,1
Dr. Romantic Season 3,"Apr 28, 2023 - Jun 17, 2023",SBS,"8.9 (scored by 17,886 users)","Disney+, Disney+ Hotstar, Hulu",2023,"8.9 (scored by 17,886 users)",8.9,17886,1
Alchemy of Souls Season 2: Light and Shadow,"Dec 10, 2022 - Jan 8, 2023",tvN,"8.9 (scored by 60,594 users)",Netflix,2023,"8.9 (scored by 60,594 users)",8.9,60594,1
The Glory,"Dec 30, 2022",Netflix,"8.9 (scored by 93,295 users)",Netflix,2022,"8.9 (scored by 93,295 users)",8.9,93295,1
Navillera,"Mar 22, 2021 - Apr 27, 2021",tvN,"8.9 (scored by 22,012 users)","Netflix, TVING",2021,"8.9 (scored by 22,012 users)",8.9,22012,1
Signal,"Jan 22, 2016 - Mar 12, 2016",tvN,"8.9 (scored by 39,556 users)","Disney+ Hotstar, Netflix, WeTV, iQIYI, Prime Video, Tubi",2016,"8.9 (scored by 39,556 users)",8.9,39556,1
The Good Bad Mother,"Apr 26, 2023 - Jun 8, 2023",jTBC,"8.9 (scored by 40,637 users)","Netflix, TVING",2023,"8.9 (scored by 40,637 users)",8.9,40637,1
It's Okay to Not Be Okay,"Jun 20, 2020 - Aug 9, 2020",tvN,"8.9 (scored by 142,074 users)",Netflix,2020,"8.9 (scored by 142,074 users)",8.9,142074,1
Extraordinary Attorney Woo,"Jun 29, 2022 - Aug 18, 2022",ENA,"8.9 (scored by 94,186 users)",Netflix,2022,"8.9 (scored by 94,186 users)",8.9,94186,1
Vincenzo,"Feb 20, 2021 - May 2, 2021",tvN,"8.9 (scored by 113,587 users)","Netflix, TVING",2021,"8.9 (scored by 113,587 users)",8.9,113587,1
Study Group,"Jan 23, 2025 - Feb 20, 2025",TVING,"8.9 (scored by 35,542 users)","TVING, Viki, VIU Indonesia",2025,"8.9 (scored by 35,542 users)",8.9,35542,1
Kingdom Season 2,"Mar 13, 2020",Netflix,"8.9 (scored by 33,500 users)",Netflix,2020,"8.9 (scored by 33,500 users)",8.9,33500,1
Mouse,"Mar 3, 2021 - May 19, 2021",tvN,"8.9 (scored by 34,518 users)","Apple TV, WeTV, Viki, iQIYI, TVING, VIU Indonesia, Prime Video, Tubi, Roku",2021,"8.9 (scored by 34,518 users)",8.9,34518,1
Death's Game Part 2,"Jan 5, 2024",TVING,"8.8 (scored by 34,332 users)","Prime Video, TVING",2024,"8.8 (scored by 34,332 users)",8.8,34332,1
